店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766389,菊正宗 上撰,drink,,,660,600,183,167,92,60720,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766389,菊正宗 上撰,,617948,熱燗,0,0,0,0,47,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766389,菊正宗 上撰,,617949,冷酒,0,0,0,0,25,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766389,菊正宗 上撰,,617950,常温,0,0,0,0,9,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766389,菊正宗 上撰,,617951,ぬる燗,0,0,0,0,6,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766389,菊正宗 上撰,,617952,熱々熱,0,0,0,0,5,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766390,ひれ酒,drink,,,825,750,205,187,22,18150,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766391,注ぎ酒,drink,,,660,600,183,167,4,2640,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766392,辛口系,drink,,,759,690,220,200,142,107778,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766393,バランス系,drink,,,759,690,220,200,78,59202,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214848,日本酒,1766394,フルーティー系,drink,,,759,690,220,200,101,76659,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766395,黒霧島（芋）,drink,,,495,450,86,79,174,86130,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766395,黒霧島（芋）,drink,599974,ロック,0,0,0,0,16,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766395,黒霧島（芋）,drink,599975,水割り,0,0,0,0,26,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766395,黒霧島（芋）,drink,599976,ソーダ割り,0,0,0,0,95,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766395,黒霧島（芋）,,619440,お湯割り,0,0,0,0,37,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766395,黒霧島（芋）,,627426,濃いめ,209,190,0,0,8,1672,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766396,いいちこ（むぎ）,drink,,,495,450,96,88,47,23265,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766396,いいちこ（むぎ）,drink,599975,水割り,0,0,0,0,3,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766396,いいちこ（むぎ）,drink,599976,ソーダ割り,0,0,0,0,41,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766396,いいちこ（むぎ）,,619440,お湯割り,0,0,0,0,3,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766397,鍛高譚（紫蘇）,drink,,,495,450,97,89,16,7920,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766397,鍛高譚（紫蘇）,drink,599974,ロック,0,0,0,0,2,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766397,鍛高譚（紫蘇）,drink,599975,水割り,0,0,0,0,6,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766397,鍛高譚（紫蘇）,drink,599976,ソーダ割り,0,0,0,0,7,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766397,鍛高譚（紫蘇）,,619440,お湯割り,0,0,0,0,1,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766397,鍛高譚（紫蘇）,,627426,濃いめ,209,190,0,0,1,209,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214850,焼酎,1766398,昆布焼酎（自家製）,drink,,,550,500,102,93,77,42350,,10
